run_id,scenario,policy_tag,t_global,healthcare_budget,social_service_budget,sw_id,x,y,target_peh_idx
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,14,4640.0,4860.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,15,4610.0,4850.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,16,4580.0,4840.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,17,4550.0,4830.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,18,4520.0,4820.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,19,4490.0,4810.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,20,4460.0,4800.0,14,2,0,4
